,CompanyName,Location,CompaniesList
1,Tidel Park,Taramani,"Cisco Systems, Hexaware Technologies, Sify, Tenneco, Trimble"
2,Olympia Tech Park,Guindy,"HP, Verizon, ABN Amro, Visteon, Hewitt, Merril,AIGSS, Force10 Networks, iSharp, RBS, DXC"
3,SRM Tech Park,Potheri,SRM Institute of Science and Technology
4,Bahwan CyberTek IT Park,Thorappakkam,"Zafin Labs, Beroe Consulting India, Identive Technologies India"
5,IITM Research Park,Taramani,"Chakra Network Solutions, Saint-Gobain, Centre of Excellence in Wireless Technology (CEWiT), Tata Consultancy Services, Cognizant Technology Solutions India, ARCI, AMADA Soft India, EPMCR, Maveric Systems, ThinkEquity, NMS, TCOE, GoodEarth Maritime, Madras Engineering Industries, Net Access (India), TATA Elxsi, Villgro, XMOS Semiconductor India, Converteam"
6,Ceedeeyes Tech Park,Thorappakkam,TCS
7,ETL Infrastructure - Chennai One,Thorappakkam,"TCS, SIEMENS (ATOS), Wipro, Vembu Technologies, GMT, GDES, Sutherland, HCL, Polaris, Ford, Prodapt"
8,TEK Meadows,"sholinganallur,Taramani","Aviva, EDS, Ford,Flextronics"
9,Quanta Engineers,Teynampet,Kanbay (Cap Gemini)
10,Ascendas Stage III,Taramani,OFS
11,ASV suntech Park,Okkiam Thorappakkam,"Cognizant (CTS), Capgemini, Ajuba, US Technology, Cisco"
12,Marg Digital Zone II,Karappakkam,TCS
13,Marg square,Karappakkam,
14,L&T Estancia IT SEZ,"Guduvancheri, GST Road",Zoho Corporation
15,Ascendas stage I,Taramani,"Amazon, Siemens, Caterpiller, Inautix, Visual Graphics, Dow Corning"
16,Bascon IT park,T.Nagar,"Scope, Airtel, Irevna"
17,Prince Infocity,Kandanchavadi,"KLA Tencor, D&B Transunion, Maersk Global Service Centres"
18,Prince Info City II,Kandanchavadi,"Proretention Technologies Inida, Prodapt Solutions, Tata Teleservices, Thinksoft Global Services, Atmel R&D India, Episource India"
19,Arihant Technopolis,Perungudi,HCL
20,ASV Ramana Tech Park,37 & 38 Venkatnarayana Road Chennai -17,DS - Simulia India
21,A.R Foundations - Acropolis,149. Dr. radhakrishnan salai Mylapore,"Oracle, Geo logistics, Thomson Reuters, Visual Graphics India/Mckinsey & Company Global F&A SSC"
22,Pioneer Asia - Tamarai Tech Park,Guindy industrial estate,"Dow Chemicals, Ericsson India Global Services,[1] ABCO Advisory Services India, Softura"
23,ETA Ascon - (ETA Tech Park-SEZ),Chennai-SEZ ETA-Navalur,HCL
24,Ramaniyam - Baid Hi-Tech Park,Tiruvanmiyur,"Extreme Networks, TnQ Books & Journals"
25,Appaswamy/XS real - The futura,334 OM Road (opp MTL) Sholinganallur,"PayPal, MBit Wireless"
26,Rayala corporation - Rayala Technopark,Kottivakkam,"Alcatel, e4e, R Systems International Limited, Beroe Consulting India Pvt. Ltd."
27,Vishranthi homes - stargate,Perungudi,Cognizant
28,Citilights freedom/pacifica,Navalur,
29,Ascendas stage II,Taramani,"Wipro (CITI Technology Services), Lion Bridge, Ingersoll Rand India"
30,RMZ Millenia - Phase II,Taramani,"Flex, Ford, Shell"
31,MPL SILICON TOWERS,Pallikaranai,"Barry Wehmiller, Prizm, Scintel"
32,Prince Info Park (IT),Ambattur Industrial Estate,"Poletus Bics Global,Optimus,Slash Support,Datamark Prodapt, Lasersoft, Sparsh BPO,Intelenet and First Source."
33,Shapoorji Pallonji Infocity(SP Infocity),kandanchavadi,"Ericsson Global, Hapag-Lloyd, Amazon, Lister Technologies, Saksoft, HSBC, Citi, Neeyamo Technologies, QBurst, Siemens, Ripit solutions, ViaSat, Ford, Hcl"
34,Prince foundations - Technopark,Semmenchery,
35,Aroha e-serve,,
36,Allied Investments & housing - (unnamed),Ekattur,
37,Prestige Polygon IT park,,"Durr, RR Donneley"
38,Best & Crompton,Ambattur,
39,Alliance Galleria,Pallavaram,
40,Alliance Orchid Tech Park,Ambattur,
41,TNPL,Ambattur,
42,Puravankara Primus,"148, OMR, Okkiyam, Thoraipakkam, Chennai-96",
43,Narendra Properties- Devi,LB road,
44,RMZ Guindy (HTPL Site),Guindy,
45,Navin's WSS Towers,"107, Harris Road, (erstwhile Chitra Talkies), Mount Road, Chennai-600 002, Call: 9841046609","HCL, ONGC"
46,RCTECH,"3D, Mercury Apartments, Pantheon Road, Egmore, Chennai â€“ 600 008. India",
48,Tidel Park III,Taramani,
49,Olympia Tech Park II-Pallavaram,Pallavaram,
50,ceebros - IT park,Thorappakkam,
51,Vishranthi homes Oceanic tech park,40 South Canal Bank Santhome,
52,S.P. Ramesh IT City,"LB Road, Tiruvanmiyur",
53,Rattha co - TEK heights,,
54,ROVERCO (rattha)- Times square,MRC Nagar,
55,RR Towers Industries phase 4,Guindy industrial estate,
56,TVH - Agnitio,Perungudi,
57,KG Builders - 360 degrees,232/1 Dr. MGR SalaiNorth Veeranam Salai OMR Bypass Road Perungudi,Temenos
58,Bharathkumar Kamdar - (Prince Tech park?),Thoraippakkam,
59,Maansarovar properties - Techno creek,Kottivakkam,
60,ceebros (seshachalam building??),76 Anna salai Teynampet,
61,Bhanumathi & others - (unnamed),Perungudi,
62,Rajiv Sampat & others (co??) - (unnamed),402/403 Pantheon Rd Egmore,
63,Keyaram Hotels - (unnamed),1 Harrington Rd Chetpet,
64,R. Ramanathan (co??) - (unnamed),70 Spurtank Rd Chetpet,
65,Lancor Gesco - (unnamed),Alwarpet,
66,Exceed ESPEE IT park,ekkaduthangal guindy industrial estate,"Calsoft Labs, Lycatel, Triplepoint"
67,Pradeep Bhandari (co??) - unnamed,Whites Road Royappet,
68,Chaitanya group - (unnamed),venkatnarayana rd T.Nagar,
69,Arihant insight,PlotNo.24 Ambattur Industrial Estate,
70,ESPEE IT Park,1.3,
71,DLF -IT park (SEZ),Porur - Manappakkam,"Boeing India, Aptiv, L&T Technology Services, L&T Infotech, Groupon, PearsonEnglish, TCS, iGate Patni, IBM, Symantec, NTT Data, E-serve, CSC, Dell Services, Syntel, Secova, Petrofac, Virtusa, GRO, Photon Interactive, Plintron Mobility Solutions, Cognizant, Sutherland, Mphasis, Technosoft, Logica, Barclays, Thirdware, MulticoreWare"
72,ESTRA SEZ,"Porur - Ayyapanthangal Opposite Ramachandra Medical College (Will be employing 50,000 people)",
73,TCG group/WS - IT park,Porur,HP has taken up this whole IT Park
74,Vishranthi homes Jayanth Techpark,Porur - Nandambakkam,
75,Mayfair Exports - (unnamed),Porur - Manappakkam,
76,Shanthi Builders - (unnamed),113/114 Kamaraj Salai Mylapore,
77,Ramaniyam - Bristol,Guindy,"Airtel, India Property, HQ10"
78,Akshaya Homes - stanz park,Kazhipattur,
79,Ascendas Mahindra city IT park,Mahindra city,
80,Reliance Tech Park,Koyambedu,
81,Shriram The Gateway SEZ,"Perungalathur, GST Road","Accenture,Redington,  Sutherland, Mahindra Satyam, ReDIM Information Systems, Mobius, Sybrant, Take, Trianz, Redington"
82,RR skyline,Ambattur industrial Estate,
83,Alpha city -SSPDL,Navalur,"IBM-Daksh, National Management School, Newt Global"
84,Ramaniyam - Kamak towers,Ekkaduthangal,"Contus (company), GE Countrywide, Converteam"
85,Arihant - (unnamed),Tiruvanmiyur,
86,Ampa Infospace,Nelson Manickam Rd,
87,Ramaniyam Greeta,Perungudi,
88,Global Infocity,Perungudi Tharamani Link Road off OMR (Old Mamallapuram Road),"Amazon.com, Chronus Corporation, Athenahealth, Solarwinds, Lister Technologies, ChargeBee ,TechAfiinityGlobal"
89,Menakur Infrastructure (e-Platinum),Navalur,
90,Prestige Cybertowers,Sholinganallur,
91,Robin estates Bridgetown IT park,OMR,
92,Indus cityscape - Techscape towers,OMR,
93,Rattha Tek Towers,,
94,Jayasree Financiers - (unnamed),Sholinganallur,
95,R.Rajagopal (co??) - (unnamed),Okkiam Torappakkam,
96,Harindar singh & others (co??) - (unnamed),Okkiam Torappakkam,
97,Tirupurasundhari & others (co??) - (unnamed),Pallikaranai,
98,Aravind IT park,Karappakkam,
99,Landmarvel IT park,Siruseri,
100,Maansarovar properties - Maan sarovar Heights,Semmenchery,
101,Resurgent Investments- (unnamed),Sholinganallur,
102,Ambattur Clothing Co (The Ambit),Ambattur,"CSS, iOpEx"
103,Appaswamy/Chaitanya - e-gate,292 OM Road Sholinganallur,
104,KK agarwal co - (unnamed),Sholinganallur,
105,Krishnan Sivagami Trust,Keelkottaiyur village (Kelambakkam),
106,Arun Fabricators - (unnamed),Navalur,
107,Kerry jost engg co - (unnamed),Ambattur industrial estate,
108,Yekediar farms - (unnamed),Okkiam Torappakkam,
109,Matrix towers - (SSPDL),Perungudi,
110,Succons OKI Infotech Park,Navallur,
111,One IndiaBulls Park,Ambattur Industrial Estate,"Royal Bank of Scotland, Vodafone Essar, Telebuy, KONE Elevators, Dell, HCL, TCS and ICICI Bank - Head office"
112,TECCI Park,"OMR,Karapakkam,Chennai-600083","Uninor, Vestas, Valeo, First source, Qmax, Pathfinder."
